	protein	coefficient_control	p_value_control	random_intercept_variance_control	residual_variance_control	log_likelihood_control	aic_control	bic_control	bse_control	q_value_control	coefficient_treated	p_value_treated	random_intercept_variance_treated	residual_variance_treated	log_likelihood_treated	aic_treated	bic_treated	bse_treated	q_value_treated	diff	se_diff	z_stat	p_value	q_value	log2_fold_change
0	CES1	-2.026075579878991	4.977239126242731e-44	0.1322401025250903	0.4034897804606709	-433.0542061666124			0.1455802219060807	2.0631841235210938e-42	-0.3218183993638054	0.0188233733249497	0.344608376740756	0.0829776116416734	-29.398593860225617			0.1370016831109813	0.1056618689307176	1.7042571805151856	0.19990763413503104	8.52522310060463	0.0	0.0	2.6543692759204327
1	ACSS3	-2.3659315650031987	2.847123373394255e-60	0.2451633787957035	0.3617957776815422	-400.1422426022386			0.1444772621633853	2.915789290046705e-58	-0.4656537103011941	0.0007841210451152	0.3515167235942324	0.0700907336648324	-19.98978722287808			0.1386559169555254	0.0097092635292216	1.9002778547020045	0.20024770308047263	9.489636212897526	0.0	0.0	2.345078965080923
2	AOX1	-1.7807402530634198	1.5525801119648063e-89	0.2646767054093565	0.1516314044544375	-235.92801191743752			0.0887571995678672	9.010139916435756e-87	-0.5270537647758041	0.0002875673413772	0.226799594231939	0.0856200982290383	-29.59665695671956			0.1453440371079372	0.004483920397031	1.2536864882876158	0.17030187784626344	7.361554106992031	4.546363285840016e-14	2.591427072928809e-12	1.7564550498121783
3	ALDH1L1	-1.5605981357236185	3.8896476087728527e-53	0.5587038698596608	0.1971113621097756	-295.7025239643219			0.101707900700132	2.7087505947494154e-51	-0.5455394040942947	8.987383959787824e-07	0.3754389110348773	0.0556066233580661	-8.089851640921154			0.111048885660932	4.882178899446031e-05	1.0150587316293238	0.15058669287610596	6.740693432084703	3.940792137058224e-12	1.684688638592391e-10	1.5163437709709564
4	NADK2	-1.612273046442576	7.962113150343902e-65	0.1643172501278325	0.1743130963015949	-262.13022536273365			0.0948294866472372	1.0663106919037487e-62	-0.4427891111719117	0.003662722190899	0.2721165916742732	0.104989497383921	-42.59567738893895			0.1523791988932489	0.0331614202659894	1.1694839352706643	0.17947716231634275	6.516059871781102	1.8044565841535132e-11	6.171241517805015e-10	1.864404442423438
5	FMO3	-1.7332371426131183	1.5514841583060167e-68	0.2786882039297001	0.1901598351569921	-283.09461816616727			0.0990678103888023	2.45557629055525e-66	-0.5666308700499469	0.0001646327890814	0.4351682465747631	0.0957796677296761	-37.672299306291			0.1503841070720181	0.0030134958349259	1.1666062725631714	0.18008278850317674	6.4781664159014944	2.3210988686628298e-11	6.615131775689065e-10	1.6129879514640701
6	TSSK6	1.9812540705826	1.9613483794434168e-63	0.3489625842213506	0.2233422942945434	-273.48296806722374			0.1178408971960363	2.2764716857406592e-61	0.4835835101149334	0.0177651086985498	0.3938905740527416	0.1550571368120831	-54.89496854902612			0.2040025438506848	0.1028056462142883	1.4976705604676668	0.23559183973456588	6.357056178834744	5.1414206225786074e-11	1.2559756092299171e-09	2.0345769437718415
7	CS	-2.0448679146748447	4.918662165887399e-63	0.0802094431738497	0.2888655342199192	-362.1978634763029			0.1220206393678683	5.3521192692562254e-61	-0.8336908558667655	5.474495756318385e-07	0.3122521140644696	0.1085925936643184	-41.61072236478765			0.1664422495419798	3.5457887898616e-05	1.2111770588080792	0.20637843604489797	5.8687190484600125	1.0979372411235033e-09	2.3468408529014884e-08	1.2944232407358882
8	ASS1	1.8267410983318464	1.4854283906993178e-72	0.1825528907611112	0.2005048409647543	-292.7929762010665			0.1014010355941799	2.873478698008347e-70	0.1223446092934337	0.6597775432572239	0.5008130728816443	0.3358927386425105	-107.46780746699284			0.2779167691091608	0.8438434752819227	1.7043964890384127	0.2958376253481743	5.761256659062521	2.087249206805808e-09	3.965773492931035e-08	3.900249736747654
9	ERP29	-1.0088552301401557	1.9270286207001334e-13	0.323079793587044	0.3588970817578171	-416.8979428109799			0.1371889724777197	1.6207520911299189e-12	0.5764952657885322	0.0183987072463349	0.4032744676800972	0.2693066126580738	-94.998668041109			0.2445372254725173	0.1042383753895236	1.585350495928688	0.2803912780585182	5.654064944194955	3.917423940791309e-09	6.69879493875314e-08	
10	SUCLG2	1.8223696617767169	1.2155823287196137e-84	0.3454737218465729	0.1610377729363553	-245.56105976231515			0.0934798418183669	3.5272147238347446e-82	0.6572398050559052	0.0005222923550237	0.2299167531256438	0.1537971274984053	-61.82683435541071			0.1894578751476949	0.0071507343565847	1.1651298567208117	0.21126468536380247	5.515024220514812	8.718298194487772e-09	1.355299082961281e-07	1.471323871441381
11	ACAT1	-1.286369097071276	4.9117521346414685e-34	0.2512456276154367	0.2101098333918411	-302.007543239082			0.1057635820050368	1.4018623715427535e-32	-0.1170798280685806	0.5289038126532182	0.1993543504684211	0.1542852851684114	-61.29895839059907			0.1859353691346885	0.7759928472069225	1.1692892690026955	0.21391095524490794	5.466243033995005	1.1491849805089771e-08	1.6375885972252924e-07	3.457740216260476
12	UGT1A9	-1.160565251793925	2.0679967917822863e-20	0.175205951521732	0.2914414021458019	-364.6133504847524			0.1253476636299322	2.9755226566057533e-19	-0.0627409930126001	0.6925247387724136	0.4074948745800352	0.1051382177435821	-41.65850800655909			0.1586647794398096	0.8641527500213416	1.0978242587813247	0.20220422599976998	5.429284444245857	1.4145111193464288e-08	1.860626164678764e-07	4.209275465891439
13	UGT2B7	-1.2533946883081346	3.141557332809844e-27	0.4776197578724698	0.2574863181563543	-349.153454711055			0.1159650416434481	7.103183527820699e-26	0.5326747825888402	0.0852213476255426	0.2997689086888347	0.4299497659600264	-121.3379448680496			0.3094854754890113	0.2684732726220877	1.7860694708969747	0.33049833648904503	5.404170834476128	1.6277217240734387e-08	1.8758745660152345e-07	
